rank,feature_name,mean_absolute_shap
138,cat__county_WILLIAMSON,0.0026527923825426796
139,cat__county_BURLINGTON,0.002624494739774222
140,cat__county_MATAGORDA,0.0025237490595017005
141,cat__city_Bay City,0.0025237490595017005
142,cat__city_Pearland,0.0023306980718799586
143,cat__county_DONA ANA,0.002306802192560568
144,cat__city_Las Cruces,0.002306802192560568
145,cat__city_Salinas,0.0023063709315880743
146,cat__city_Charlotte,0.002196905857804069
147,cat__county_LINCOLN,0.002183505285296046
148,cat__city_Lincolnton,0.002183505285296046
149,cat__city_Anaheim,0.0021520221571700187
150,cat__city_Cedar Park,0.002139391682403883
151,cat__city_East Stroudsburg,0.002131686058158872
152,cat__county_BERGEN,0.002095703992656098
153,cat__county_HAYS,0.002010002409225398
154,cat__city_Modesto,0.002003830093496112
155,cat__city_Nyack,0.001934975718909582
156,cat__city_Loma Linda,0.001892290907267022
157,cat__county_ROCKLAND,0.0018874412562615045
158,cat__city_Scottsdale,0.0018853443627106765
159,cat__city_Atlantic City,0.001843348314996649
160,cat__county_ATLANTIC,0.001843348314996649
161,cat__city_Tucson,0.0017951919418160676
162,cat__county_MECKLENBURG,0.001794363573618694
163,cat__city_College Station,0.001769386553732899
164,cat__city_Oakland,0.0017635340918911518
165,cat__county_MONTGOMERY,0.001709912518091709
166,cat__city_Valhalla,0.0016964708258628246
167,cat__county_MONTEREY,0.0016731007700112692
168,cat__city_Patchogue,0.0016520865592216142
169,cat__city_Hoboken,0.001642835539914397
170,cat__county_BRONX,0.0016323228742209526
171,cat__city_Bronx,0.0016323228742209526
172,cat__city_Long Beach,0.001596362503845337
173,cat__city_Whittier,0.0015828023226399895
174,cat__city_Newark,0.0015778881489905798
175,cat__city_Floresville,0.0015740433027126885
176,cat__county_WILSON,0.0015740433027126885
177,cat__city_Hollywood,0.0015578683535223403
178,cat__city_Bayonne,0.0015463936810173298
179,cat__county_PASSAIC,0.0015353090366067522
180,cat__city_Hamilton,0.0015219113099618814
181,cat__city_Hartford,0.0015010248131132624
182,cat__city_The Woodlands,0.001485305609644517
183,cat__county_LAVACA,0.0014255072402575497
184,cat__city_Montebello,0.0013309480331197474
185,cat__city_Goodyear,0.0013184759445687157
186,cat__city_Ventura,0.0012877441704421632
187,cat__city_San Marcos,0.0012765586739186636
188,cat__city_Fremont,0.0012641142483025794
189,cat__city_Gardena,0.001244115089894513
190,cat__city_Orange,0.0012424394524460495
191,cat__city_Bristol,0.0012375988182319888
192,cat__city_Concord,0.0012321786780233781
193,cat__city_Chester,0.0012041194415784058
194,cat__city_New York,0.0011636003567702003
195,cat__county_NEW YORK,0.0011636003567702003
196,cat__city_Riverside,0.0011605246316384852
197,cat__city_Conroe,0.001125335310347881
198,cat__city_Livingston,0.0010915318097752347
199,cat__county_SANTA CRUZ,0.0010298920334447157
200,cat__county_GASTON,0.0010144361525268922
201,cat__city_Gastonia,0.0010144361525268922
202,cat__county_CHESTER,0.001007892364906338
203,cat__city_Santa Barbara,0.0009734869869733396
204,cat__county_SANTA BARBARA,0.0009734869869733396
205,cat__city_Sacramento,0.0009657325579159136
206,cat__city_Sugar Land,0.0008754955115355276
207,cat__city_Tracy,0.0008140745578010921
208,cat__county_DELAWARE,0.0008093140676678219
209,cat__county_CATAWBA,0.000808269699540446
210,cat__city_Hickory,0.000808269699540446
211,cat__county_SAN DIEGO,0.000791859372301648
212,cat__city_San Dimas,0.0007721243140097495
213,cat__city_Harris,0.0007556847645142719
214,cat__county_SULLIVAN,0.0007556847645142719
215,cat__city_Laguna Hills,0.0007505670967430648
216,cat__county_AMADOR,0.000648543373879623
217,cat__city_Jackson,0.000648543373879623
218,cat__county_SONOMA,0.00062278494090514
219,cat__county_MONROE,0.0005992091790171768
220,cat__city_French Camp,0.0005803441603901844
221,cat__city_Greenwich,0.0005692797729622023
222,cat__city_Santa Cruz,0.0005149460167223578
223,cat__county_MORRIS,0.00045417110287194557
224,cat__city_Fredericksburg,0.0004448014273563884
225,cat__county_GILLESPIE,0.0004448014273563884
226,cat__city_Brick,0.00041598522662004224
227,cat__city_Upland,0.00040465703383391093
228,cat__city_Quakertown,0.0003647926336688062
229,cat__city_Redwood City,0.0003296968339180536
230,cat__county_DUTCHESS,0.0002875186252127956
231,cat__county_NORTHAMPTON,0.00027826107664103523
232,cat__city_Denville,0.00024923714879298046
233,cat__city_Mount Kisco,0.0001943936230713312
234,cat__city_Rhinebeck,0.00015826713314465846
235,cat__city_Bethlehem,0.00015317123484827618
236,cat__city_Greenbrae,0.00011118531184782301
237,cat__city_Irvine,6.381302988949502e-05
238,cat__city_Newport Beach,3.4139611889838554e-05
239,cat__city_Baldwin Park,0.0
240,cat__city_Baytown,0.0
241,cat__city_Banning,0.0
242,cat__city_Belleville,0.0
243,cat__city_Bensalem,0.0
244,cat__city_Bethpage,0.0
245,cat__city_Bridgeport,0.0
246,cat__county_RICHMOND,0.0
247,cat__county_SALEM,0.0
248,cat__county_SOLANO,0.0
249,cat__city_Barstow,0.0
250,cat__city_Apache Junction,0.0
251,cat__city_Apple Valley,0.0
252,cat__city_Alamogordo,0.0
253,cat__city_Albemarle,0.0
254,cat__county_WARREN,0.0
255,cat__county_VICTORIA,0.0
256,cat__county_WHARTON,0.0
257,cat__city_Palm Springs,0.0
258,cat__city_Panorama City,0.0
259,cat__city_Paoli,0.0
260,cat__city_Palmdale,0.0
261,cat__city_Palo Alto,0.0
262,cat__city_Payson,0.0
263,cat__city_Pennington,0.0
264,cat__city_Perth Amboy,0.0
265,cat__city_Phillipsburg,0.0
266,cat__city_Phoenixville,0.0
267,cat__city_Plainsboro,0.0
268,cat__city_Paramus,0.0
269,cat__city_Paterson,0.0
270,cat__city_Pleasanton,0.0
271,cat__city_Plainview,0.0
272,cat__city_Pomona,0.0
273,cat__city_Port Arthur,0.0
274,cat__city_Pottstown,0.0
275,cat__city_Prescott,0.0
276,cat__city_Port Jefferson,0.0
277,cat__city_Port Jervis,0.0
278,cat__city_Redlands,0.0
279,cat__city_Queen Creek,0.0
280,cat__city_Richmond,0.0
281,cat__county_SOMERSET,0.0
282,cat__county_STANLY,0.0
283,cat__county_SUSSEX,0.0
284,cat__city_Allentown,0.0
285,cat__city_Antioch,0.0
286,cat__city_Royersford,0.0
287,cat__city_Round Rock,0.0
288,cat__city_San Andreas,0.0
289,cat__city_San Gabriel,0.0
290,cat__city_Santa Ana,0.0
291,cat__city_Santa Clara,0.0
292,cat__city_San Pedro,0.0
293,cat__city_San Rafael,0.0
294,cat__city_Secaucus,0.0
295,cat__city_Sellersville,0.0
296,cat__city_Sharon,0.0
297,cat__city_Shelby,0.0
298,cat__city_Sherman Oaks,0.0
299,cat__city_Simi Valley,0.0
300,cat__city_Santa Monica,0.0
301,cat__city_Santa Rosa,0.0
302,cat__city_Somerville,0.0
303,cat__city_Sonoma,0.0
304,cat__city_South El Monte,0.0
305,cat__city_South San Francisco,0.0
306,cat__city_Stamford,0.0
307,cat__city_Stanford,0.0
308,cat__city_Staten Island,0.0
309,cat__city_Statesville,0.0
310,cat__city_Stony Brook,0.0
311,cat__city_Stratford,0.0
312,cat__city_Stroudsburg,0.0
