,overall_rating,patient_survey_rating,affiliated_clinicians,mort_better,mort_worse,safety_better,safety_worse,readm_better,readm_worse,total_better_measures,total_worse_measures,quality_balance_score,better_measure_ratio,worse_measure_ratio,quality_coverage
overall_rating,1.0,0.614781220431929,0.37142503960730694,0.4036625592723819,-0.19876976544006061,0.17630729733246364,-0.1072489431056754,0.3876466099331343,-0.2425855035786941,0.41183281627113055,-0.29103390714779803,0.5451458503860677,0.410554314366911,-0.36293849233378384,0.08099162545712967
patient_survey_rating,0.614781220431929,1.0,0.19909972750702393,0.1294620107411312,-0.08543503975679209,-0.04269265285238866,-0.004170244019069196,0.20971550555698804,-0.21810298051718954,0.1069071568719802,-0.21276578531499274,0.21050800195212277,0.12184031821796099,-0.22125795919890623,-0.06571979417147401
affiliated_clinicians,0.37142503960730694,0.19909972750702393,1.0,0.6731943932256026,0.02782594157434806,0.5696036210209696,0.1989759289115658,0.47748809001878717,0.32724966129838756,0.7651508300636641,0.3356106018013379,0.5888554177874005,0.5534767745621343,0.11976251887030961,0.5247144376405843
mort_better,0.4036625592723819,0.1294620107411312,0.6731943932256026,1.0,-0.07734076669656055,0.3883192788565557,0.11715461154047592,0.3974620423674472,0.24039085702246837,0.8129352339889464,0.21167883462374895,0.6922468350839053,0.6997531123908448,0.06408876972294647,0.33737813687074636
mort_worse,-0.19876976544006061,-0.08543503975679209,0.02782594157434806,-0.07734076669656055,1.0,0.07449046656688979,0.09415434319201998,0.023859773479214256,0.1370037942781863,0.011279618891705367,0.4283529653350863,-0.20783771704387158,-0.032193378906203995,0.3276531206172071,0.1617660206394228
safety_better,0.17630729733246364,-0.04269265285238866,0.5696036210209696,0.3883192788565557,0.07449046656688979,1.0,0.14923270764566235,0.2796093239596408,0.3050315382651854,0.7748647654783999,0.3183279344293941,0.5975636202784491,0.6465824777929143,0.0967214627603117,0.5630625916884788
safety_worse,-0.1072489431056754,-0.004170244019069196,0.1989759289115658,0.11715461154047592,0.09415434319201998,0.14923270764566235,1.0,0.016147317181136555,0.125268502400354,0.13695769940006758,0.3797231625068392,-0.0585951649985196,0.07554985397319643,0.3383975685737766,0.14366026524644862
readm_better,0.3876466099331343,0.20971550555698804,0.47748809001878717,0.3974620423674472,0.023859773479214256,0.2796093239596408,0.016147317181136555,1.0,-0.13110926069173057,0.6656642314448351,-0.09905002597478885,0.7116443623112929,0.6658539579686763,-0.20806348570092242,0.282983284767106
readm_worse,-0.2425855035786941,-0.21810298051718954,0.32724966129838756,0.24039085702246837,0.1370037942781863,0.3050315382651854,0.125268502400354,-0.13110926069173057,1.0,0.2413348682217634,0.923687648028003,-0.23726163420895674,0.09257471943812988,0.8079016050301827,0.463342113154301
total_better_measures,0.41183281627113055,0.1069071568719802,0.7651508300636641,0.8129352339889464,0.011279618891705367,0.7748647654783999,0.13695769940006758,0.6656642314448351,0.2413348682217634,1.0,0.2471073688360468,0.8652354099545349,0.8377069953324002,0.02845819603060636,0.5464897446280345
total_worse_measures,-0.29103390714779803,-0.21276578531499274,0.3356106018013379,0.21167883462374895,0.4283529653350863,0.3183279344293941,0.3797231625068392,-0.09905002597478885,0.923687648028003,0.2471073688360468,1.0,-0.2720114703203367,0.07118076492584428,0.8611916553973797,0.48169518989213
quality_balance_score,0.5451458503860677,0.21050800195212277,0.5888554177874005,0.6922468350839053,-0.20783771704387158,0.5975636202784491,-0.0585951649985196,0.7116443623112929,-0.23726163420895674,0.8652354099545349,-0.2720114703203367,1.0,0.795090069953894,-0.41732907413633424,0.2934796639135098
better_measure_ratio,0.410554314366911,0.12184031821796099,0.5534767745621343,0.6997531123908448,-0.032193378906203995,0.6465824777929143,0.07554985397319643,0.6658539579686763,0.09257471943812988,0.8377069953324002,0.07118076492584428,0.795090069953894,1.0,-0.08743821130529175,0.28778622957351624
worse_measure_ratio,-0.36293849233378384,-0.22125795919890623,0.11976251887030961,0.06408876972294647,0.3276531206172071,0.0967214627603117,0.3383975685737766,-0.20806348570092242,0.8079016050301827,0.02845819603060636,0.8611916553973797,-0.41732907413633424,-0.08743821130529175,1.0,0.2186319857273939
quality_coverage,0.08099162545712967,-0.06571979417147401,0.5247144376405843,0.33737813687074636,0.1617660206394228,0.5630625916884788,0.14366026524644862,0.282983284767106,0.463342113154301,0.5464897446280345,0.48169518989213,0.2934796639135098,0.28778622957351624,0.2186319857273939,1.0
