model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,training_time_seconds
Logistic Regression,0.6833333333333333,0.654040404040404,0.6558176100628931,0.6474531245173447,0.671006703116795,0.06988692283630371
Gradient Boosting,0.6416666666666667,0.6050753134086467,0.6105402066486972,0.6065397927860997,0.6342443214867798,0.7998695373535156
SVM (RBF),0.625,0.5702976436544027,0.5911556603773586,0.5734528629265471,0.6021833429728166,0.03463864326477051
Random Forest,0.5833333333333334,0.5335343567251462,0.5458782569631626,0.5305327245053272,0.5582161339421613,0.15010905265808105
Decision Tree,0.55,0.5165867107802592,0.5178234501347708,0.5164734776385261,0.5517447752884647,0.020155668258666992
