model,baseline_accuracy,tuned_accuracy,accuracy_change,baseline_macro_f1,tuned_macro_f1,macro_f1_change,baseline_weighted_f1,tuned_weighted_f1,weighted_f1_change
Logistic Regression,0.6833333333333333,0.6583333333333333,-0.025000000000000022,0.6474531245173447,0.6266451387800016,-0.020807985737343104,0.671006703116795,0.6515619018560034,-0.019444801260791622
Gradient Boosting,0.6416666666666667,0.6583333333333333,0.016666666666666607,0.6065397927860997,0.6228204892605088,0.016280696474409107,0.6342443214867798,0.648998682995769,0.014754361508989233
